pname,ptype,pcontactno,pshortinfo
성북동 누들거리,먹자거리,02-2241-5000(성북동 주민센터),"""다양한 관광자원과 함께 성곽 주변을 따라 면(누들)을 전문으로 하는 음식점들이 분포하고 있다."""
신당동 떡볶이골목,먹자거리,02-2236-9135(동대문 관광안내소),"""신당동 떡볶이는 손님들이 재료를 골라 즉석에서 볶아 먹는 게 특징이다. 떡볶이에 넣어 먹는 사리는 달걀, 라면, 당면, 쫄면, 만두, 어묵 등으로 다양하다."""
남대문 칼국수골목,먹자거리,02-752-1913(남대문시장 관광안내소),"""남대문시장 6번 출입구를 알리는 아치를 통과해 조금 가다 보면 왼쪽으로 칼국수골목이 나온다. 남대문 칼국수골목에서 파는 음식은 칼국수, 수제비, 잔치국수, 열무냉면, 찰밥, 보리비빔밥, 냉면 등이다."""
광장시장 전골목,먹자거리,02-2267-0291(광장시장),"""광장시장 골목에는 빈대떡, 전을 파는 식당과 포장마차 구역이 있고 칼국수와 만둣국을 파는 곳, 양푼이비빔밥을 파는 곳, 순대에 머리고기, 돼지껍데기를 파는 곳, 회를 파는 곳, 죽을 파는 곳, 잔치국수와 떡볶이를 파는 곳 등이 어깨를 맞대고 골목마다 줄을 지어 서있다."""
응암동 감자국거리,먹자거리,02-351-5272(응암3동 주민센터),"""서울에서 감자국을 좋아하는 사람들에게 응암동은 감자국의 메카와도 같다. 또한 맛 경쟁도 치열해서 각 집마다 다양한 방법으로 육수를 만들었고 감자국에 들어가는 재료를 바꿔가며 맛내기에 열중했다. 그러다보니 자연스럽게 응암동 감자국거리의 감자국은 입소문을 타고 장안의 별미로 인정받게 되었다."
이태원 세계음식거리,먹자거리,02-3785-0942(이태원 관광안내소),"""다양한 세계 문화가 공존하는 서울 안의 작은 용광로라 할 수 있다. 무엇보다 다양한 음식문화가 그 중심에 있다. 각국을 대표하는 음식들을 일일이 열거하자면 셀 수 없이 많다. 이태원 세계음식거리의 가장 큰 장점은 세계 여러 나라의 음식을 맛볼 수 있다는 점이다."""
삼청동 카페골목,먹자거리,02-723-9472(삼청로 관광안내소),"""삼청동 거리는 예스러움을 간직한 한옥건물의 전통미와 갤러리, 카페의 현대미가 조화되어 삼청동만의 색다른 분위기를 연출하고 있는 곳으로서 호젓한 산책로와 화랑, 박물관, 골동품 가게가 골목 사이에 숨어 문화향기가 가득하다. """
흑석동 돼지갈비골목,먹자거리,02-815-1046(흑석동 주민센터),"""저렴한 가격에 맛 좋은 돼지갈비를 먹고 싶다면 흑석동 돼지갈비골목을 찾으면 된다. 흑석동을 찾았다면 이곳에서 돼지갈비를 먹기 전에 1시간 정도 짬을 내어 서달산 산책로를 걸어보는 것도 괜찮다."""
용두동 주꾸미골목,먹자거리,02-2171-6022(용신동 주민센터),"""주꾸미볶음 하나만으로 음식점을 전문화시킨 후 사람들이 모여들자 근처에 하나 둘씩 주꾸미요리집이 늘었고 1990년대 초반을 지나면서 지금과 같은 주꾸미골목이 형성되기 시작했다."
신림동 순대타운,먹자거리,02-879-4501(신림동 주민센터),"""1992년 지금의 민속순대타운 건물에 시장에서 장사를 하던 사람들이 입주하면서 신림동 순대골목이 형성되었다. 현재 민속순대타운에는 1, 2층이 같은 집이며 3층과 4층에 약 30개의 음식점이 영업을 하고 있다. """
